"url","lastAccess","title","fromSitemap"
"https://www.tartley.com/index-9.html","09.07.2023","tartley.com (old posts, page 9) | tartley.com","YES"
"https://www.tartley.com/categories/presentations/","09.07.2023","Posts about presentations | tartley.com","YES"
"https://www.tartley.com/posts/the-buried-giant/","09.07.2023","The Buried Giant | tartley.com","YES"
"https://www.tartley.com/posts/collapse-how-societies-choose-to-fail-or-survive/","09.07.2023","Collapse: How Societies Choose to Fail or Survive | tartley.com","YES"
"https://www.tartley.com/categories/youtube/","09.07.2023","Posts about youtube | tartley.com","YES"
"https://www.tartley.com/categories/ds/","09.07.2023","Posts about ds | tartley.com","YES"
"https://www.tartley.com/posts/chaining-a-sequence-of-generators/","09.07.2023","Chaining a sequence of generators | tartley.com","YES"
"https://www.tartley.com/index-11.html","09.07.2023","tartley.com (old posts, page 11) | tartley.com","YES"
"https://www.tartley.com/posts/keyboard-coolermaster-ck530s-missing-manual/","09.07.2023","Keyboard CoolerMaster CK530's Missing Manual | tartley.com","YES"
"https://www.tartley.com/posts/copenhagen/","09.07.2023","Copenhagen | tartley.com","YES"
"https://www.tartley.com/categories/media/","09.07.2023","Posts about media | tartley.com","YES"
"https://www.tartley.com/posts/acceptance-testing-net-applications-using-ironpython/","09.07.2023","Acceptance Testing .NET Applications using IronPython | tartley.com","YES"
"https://www.tartley.com/posts/112263/","09.07.2023","11/22/63 | tartley.com","YES"
"https://www.tartley.com/index-16.html","09.07.2023","tartley.com (old posts, page 16) | tartley.com","YES"
"https://www.tartley.com/posts/intelligence-a-very-short-introduction/","09.07.2023","Intelligence: A Very Short Introduction | tartley.com","YES"
"https://www.tartley.com/categories/law/","09.07.2023","Posts about law | tartley.com","YES"
"https://www.tartley.com/posts/the-long-overdue-linkedin-backlash/","09.07.2023","The Long Overdue LinkedIn Backlash | tartley.com","YES"
"https://www.tartley.com/posts/per-mille/","09.07.2023","TIL: ‰ is per mille | tartley.com","YES"
"https://www.tartley.com/categories/bash/","09.07.2023","Posts about bash | tartley.com","YES"
"https://www.tartley.com/posts/altered-carbon/","09.07.2023","Altered Carbon | tartley.com","YES"
"https://www.tartley.com/categories/comic/","09.07.2023","Posts about comic | tartley.com","YES"
"https://www.tartley.com/categories/comedy/","09.07.2023","Posts about comedy | tartley.com","YES"
"https://www.tartley.com/posts/webfaction-hosting/","09.07.2023","Webfaction hosting | tartley.com","YES"
"https://www.tartley.com/posts/neogeography/","09.07.2023","Neogeography | tartley.com","YES"
"https://www.tartley.com/categories/the-fountain/","09.07.2023","Posts about the-fountain | tartley.com","YES"
